Well,Fluor,Content,Sample,Cq,Call,End RFU
A16,Cy5,Unkn,,NaN,,1.48477673482257
A17,Cy5,Unkn,,NaN,,3.11746193300351
B16,Cy5,Unkn,,NaN,,0.55657240398632
B17,Cy5,Unkn,,NaN,,0.631569730268711
C16,Cy5,Unkn,,NaN,,1.47572177700667
C17,Cy5,Unkn,,NaN,,1.67412888962972
D16,Cy5,Unkn,,NaN,,5.56350447017248
D17,Cy5,Unkn,,NaN,,2.49306240688456
E16,Cy5,Unkn,,NaN,,1.56157281571832
E17,Cy5,Pos Ctrl,,29.9919941644292,(+) Positive,1095.20216734294
F16,Cy5,Unkn,,NaN,,2.75369837252338
F17,Cy5,Pos Ctrl,,NaN,,3.06493331192805
G16,Cy5,Unkn,,NaN,,41.2757184699663
G17,Cy5,Pos Ctrl,,NaN,,1.35803320010409
H16,Cy5,Unkn,,NaN,,2.20223056885761
H17,Cy5,Neg Ctrl,,NaN,,2.57979907596846
I16,Cy5,Unkn,,NaN,,4.7379925579683
J16,Cy5,Unkn,,34.9485249092389,(+) Positive,546.8018330508
K16,Cy5,Unkn,,30.2804698338925,(+) Positive,1114.55064971332
L16,Cy5,Unkn,,38.9633822452752,,111.435160686162
M16,Cy5,Unkn,,NaN,,10.7064107984801
N16,Cy5,Unkn,,NaN,,4.15096171135292
O16,Cy5,Unkn,,39.028582139335,,109.099053164394
P16,Cy5,Unkn,,NaN,,2.178161612658
A01,FAM,Unkn,,25.563760810266,(+) Positive,536.178623623735
A02,FAM,Unkn,,34.2893573259159,(+) Positive,343.892747212013
A16,FAM,Unkn,,27.7219192340461,(+) Positive,387.079215288958
A17,FAM,Unkn,,35.4861333156795,(+) Positive,212.503583642733
B01,FAM,Unkn,,NaN,,-0.059346589991037
B02,FAM,Unkn,,21.6673730214953,(+) Positive,816.923865375584
B16,FAM,Unkn,,35.8667430069101,(+) Positive,189.073753822807
B17,FAM,Unkn,,22.4313043489269,(+) Positive,1052.94550440284
C01,FAM,Unkn,,22.0575287031594,(+) Positive,596.866982157857
C02,FAM,Unkn,,NaN,,-0.618549542126038
C16,FAM,Unkn,,24.7230389367611,(+) Positive,488.964115343219
C17,FAM,Unkn,,35.6586754308238,(+) Positive,210.614277923149
D01,FAM,Unkn,,NaN,,-1.10007092046471
D02,FAM,Unkn,,34.4184361155305,(+) Positive,342.512386715139
D16,FAM,Unkn,,NaN,,1.26627042543623
D17,FAM,Unkn,,NaN,,0.406275839067075
E01,FAM,Unkn,,NaN,,-0.818151665097594
E02,FAM,Pos Ctrl,,NaN,,-2.62072391475231
E16,FAM,Unkn,,NaN,,-1.34870163346923
E17,FAM,Pos Ctrl,,NaN,,-0.704038644560751
F01,FAM,Unkn,,NaN,,0.390725446206943
F02,FAM,Pos Ctrl,,25.0259743634155,(+) Positive,863.40064103839
F16,FAM,Unkn,,NaN,,-0.157491985213346
F17,FAM,Pos Ctrl,,24.1929614751291,(+) Positive,1198.05389042235
G01,FAM,Unkn,,NaN,,-0.396952522362699
G02,FAM,Pos Ctrl,,NaN,,-0.154175509483775
G16,FAM,Unkn,,NaN,,1.52903707233272
G17,FAM,Pos Ctrl,,NaN,,0.471048239354877
H01,FAM,Unkn,,NaN,,1.32616192924897
H02,FAM,Neg Ctrl,,NaN,,-2.12755851474512
H16,FAM,Unkn,,NaN,,-1.28466954635905
H17,FAM,Neg Ctrl,,NaN,,0.433035048042257
I01,FAM,Unkn,,28.3642795571556,(+) Positive,656.53823971887
I16,FAM,Unkn,,28.759832307358,(+) Positive,953.168627906118
J01,FAM,Unkn,,22.0414428322028,(+) Positive,618.289363518693
J16,FAM,Unkn,,23.0676456049489,(+) Positive,993.54485484888
K01,FAM,Unkn,,22.410535442556,(+) Positive,656.646937895095
K16,FAM,Unkn,,20.5622322812443,(+) Positive,1185.54760643939
L01,FAM,Unkn,,33.6128285033402,(+) Positive,379.323145831063
L16,FAM,Unkn,,NaN,,-0.335278007261331
M01,FAM,Unkn,,21.647731732809,(+) Positive,658.260770172747
M16,FAM,Unkn,,22.4600112350253,(+) Positive,1113.78058608123
N01,FAM,Unkn,,22.1853972416597,(+) Positive,812.453624255598
