Well,Fluor,Content,Sample,Cq,Call,End RFU
A17,Cy5,Unkn,,NaN,,1.91087347610855
A18,Cy5,Unkn,,NaN,,1.68383697213512
A19,Cy5,Unkn,,NaN,,2.17462613817934
A20,Cy5,Unkn,,NaN,,2.24907655712132
A21,Cy5,Unkn,,NaN,,1.11500904310815
A22,Cy5,Unkn,,NaN,,-1.25800148042799
A23,Cy5,Unkn,,NaN,,1.38996959413944
A24,Cy5,Neg Ctrl,,NaN,,8.33618055692914
B17,Cy5,Unkn,,NaN,,1.39032201348755
B18,Cy5,Unkn,,NaN,,1.64872965290788
B19,Cy5,Unkn,,NaN,,1.82450457088635
B20,Cy5,Unkn,,NaN,,1.52129732759877
B21,Cy5,Unkn,,NaN,,2.66439938775675
B22,Cy5,Unkn,,NaN,,1.69978403764599
B23,Cy5,Unkn,,27.6417687709075,(+) Positive,1083.64909141751
B24,Cy5,Neg Ctrl,,NaN,,0.901384868564219
C17,Cy5,Unkn,,NaN,,-0.112633667641057
C18,Cy5,Unkn,,NaN,,1.9134436743695
C19,Cy5,Unkn,,NaN,,-0.201711902116585
C20,Cy5,Unkn,,NaN,,0.684136306224264
C21,Cy5,Unkn,,NaN,,1.66645909956442
C22,Cy5,Unkn,,36.728725182518,,113.930647866745
C23,Cy5,Unkn,,NaN,,4.65553540824685
D17,Cy5,Unkn,,NaN,,2.10659749084898
D18,Cy5,Unkn,,NaN,,2.77752555965826
D19,Cy5,Unkn,,NaN,,2.41431890170561
D20,Cy5,Unkn,,NaN,,2.14635342769288
D21,Cy5,Unkn,,NaN,,2.55680463365752
D22,Cy5,Unkn,,NaN,,2.00907963891295
D23,Cy5,Unkn,,NaN,,5.15159694980966
E17,Cy5,Unkn,,NaN,,1.89403796683764
E18,Cy5,Unkn,,NaN,,0.328207000452585
E19,Cy5,Unkn,,NaN,,1.54778077092951
E20,Cy5,Unkn,,26.384460844641,(+) Positive,1086.03741553493
E21,Cy5,Unkn,,NaN,,6.35097122228872
E22,Cy5,Unkn,,NaN,,-1.57372570484386
E23,Cy5,Unkn,,NaN,,5.65363938474929
F17,Cy5,Unkn,,NaN,,2.95226080075327
F18,Cy5,Unkn,,NaN,,3.98599695604744
F19,Cy5,Unkn,,NaN,,1.06463407111642
F20,Cy5,Unkn,,NaN,,2.83903170105359
F21,Cy5,Unkn,,NaN,,30.4794278761423
F22,Cy5,Unkn,,NaN,,2.93228825213964
F23,Cy5,Unkn,,NaN,,-3.72194944432558
G17,Cy5,Unkn,,NaN,,2.30206765352086
G18,Cy5,Unkn,,NaN,,1.58610321375299
G19,Cy5,Unkn,,NaN,,-1.20840015140184
G20,Cy5,Unkn,,NaN,,0.942031491005855
G21,Cy5,Unkn,,38.8795687010515,,53.4071834837197
G22,Cy5,Unkn,,NaN,,-1.67200627466927
G23,Cy5,Unkn,,30.0760874372494,(+) Positive,719.344821673046
H17,Cy5,Unkn,,34.089419445093,(+) Positive,468.849146572331
H18,Cy5,Unkn,,NaN,,-1.66016632064275
H19,Cy5,Unkn,,NaN,,1.8602202148224
H20,Cy5,Unkn,,NaN,,2.81405175002719
H21,Cy5,Unkn,,NaN,,0.215691104160305
H22,Cy5,Unkn,,NaN,,-11.0076706515974
H23,Cy5,Unkn,,NaN,,1.82809535012284
I17,Cy5,Unkn,,NaN,,0.663071463570213
I18,Cy5,Unkn,,NaN,,1.55750341265866
I19,Cy5,Unkn,,NaN,,11.5424445275177
I20,Cy5,Unkn,,NaN,,-6.89596773764506
I21,Cy5,Unkn,,NaN,,1.18625296936243
I22,Cy5,Unkn,,NaN,,1.08806225126154
I23,Cy5,Unkn,,NaN,,2.63233770056686
J17,Cy5,Unkn,,NaN,,1.92953267445273
J18,Cy5,Unkn,,37.3123742762602,,116.177919873111
J19,Cy5,Unkn,,NaN,,-0.120979904126034
J20,Cy5,Unkn,,NaN,,2.93704475198783
J21,Cy5,Unkn,,NaN,,1.0325944772032
J22,Cy5,Unkn,,39.3830587856023,,36.57288802922
J23,Cy5,Unkn,,NaN,,6.35832824483332
K17,Cy5,Unkn,,NaN,,0.518206438876587
K18,Cy5,Unkn,,NaN,,0.372966647669364
K19,Cy5,Unkn,,31.6345971792362,(+) Positive,707.750566311275
K20,Cy5,Unkn,,NaN,,0.861174691904853
K21,Cy5,Unkn,,NaN,,2.86285174412023
K22,Cy5,Unkn,,NaN,,2.42189430775734
K23,Cy5,Unkn,,28.4651085968315,(+) Positive,828.230345640582
L17,Cy5,Unkn,,NaN,,1.76553999585058
L18,Cy5,Unkn,,NaN,,4.64654323710611
L19,Cy5,Unkn,,NaN,,0.142814415149587
L20,Cy5,Unkn,,NaN,,4.92099084772763
L21,Cy5,Unkn,,NaN,,11.7082118108552
L22,Cy5,Unkn,,NaN,,0.582829236254838
L23,Cy5,Unkn,,NaN,,-0.186395272075333
M17,Cy5,Unkn,,31.8882125952834,(+) Positive,811.108674937078
M18,Cy5,Unkn,,NaN,,1.26951840566408
M19,Cy5,Unkn,,NaN,,1.12413738756131
M20,Cy5,Unkn,,NaN,,-0.724218573011785
M21,Cy5,Unkn,,30.8039778581144,(+) Positive,895.98991064153
M22,Cy5,Unkn,,NaN,,0.889080106650272
M23,Cy5,Unkn,,27.1150580698318,(+) Positive,1201.33064459627
N17,Cy5,Unkn,,NaN,,1.7217665998417
N18,Cy5,Unkn,,33.0648814780388,(+) Positive,662.938031868864
N19,Cy5,Unkn,,NaN,,1.3627497110906
N20,Cy5,Unkn,,NaN,,0.377865667401147
N21,Cy5,Unkn,,NaN,,-0.540287757073565
N22,Cy5,Unkn,,NaN,,0.732623949655772
N23,Cy5,Pos Ctrl,,NaN,,0.169830819790786
O17,Cy5,Unkn,,NaN,,1.37673948812835
O18,Cy5,Unkn,,NaN,,2.01061122522842
O19,Cy5,Unkn,,NaN,,-1.45265829940654
O20,Cy5,Unkn,,NaN,,0.520390380428944
O21,Cy5,Unkn,,35.6839931313443,(+) Positive,275.039825111687
O22,Cy5,Unkn,,NaN,,0.243424768547811
O23,Cy5,Pos Ctrl,,NaN,,1.7983610968864
P17,Cy5,Unkn,,NaN,,-0.249684979730955
P18,Cy5,Unkn,,NaN,,-0.0660476458569065
P19,Cy5,Unkn,,NaN,,-0.0217385549580285
P20,Cy5,Unkn,,NaN,,1.33314499986036
P21,Cy5,Unkn,,NaN,,0.156308467035797
P22,Cy5,Unkn,,NaN,,0.730315321299167
P23,Cy5,Pos Ctrl,,28.4899685749989,(+) Positive,1061.71604082478
A01,FAM,Unkn,,NaN,,-1.62335180667269
A02,FAM,Unkn,,NaN,,-0.34348452269578
A03,FAM,Unkn,,NaN,,-0.268881899642747
A04,FAM,Unkn,,NaN,,0.931044784709138
A05,FAM,Unkn,,NaN,,-0.562651546322013
A06,FAM,Unkn,,NaN,,-5.13062919689282
